"state_county","trump","biden","others"
"connecticut,stamford",18242,40437,733
"connecticut,sterling",1229,639,40
"connecticut,stonington",4240,7453,196
"connecticut,stratford",10516,17363,315
"connecticut,suffield",4155,4363,168
"connecticut,thomaston",2768,1528,78
"connecticut,thompson",3005,2050,100
"connecticut,tolland",3975,5103,179
"connecticut,torrington",9220,7283,321
"connecticut,trumbull",9769,11919,314
"connecticut,union",307,249,15
"connecticut,vernon",5848,9259,293
"connecticut,voluntown",918,566,40
"connecticut,wallingford",11831,13560,394
"connecticut,warren",470,465,10
"connecticut,washington",770,1461,37
"connecticut,waterbury",14157,21573,377
"connecticut,waterford",5124,6917,275
"connecticut,watertown",7976,4612,166
"connecticut,westbrook",1958,2288,65
"connecticut,west hartford",8451,27298,542
"connecticut,west haven",8126,14245,234
"connecticut,weston",1680,4733,115
"connecticut,westport",4222,13048,253
"connecticut,wethersfield",6413,9612,252
"connecticut,willington",1445,1674,85
"connecticut,wilton",3819,7676,220
"connecticut,winchester",2799,2304,30
"connecticut,windham",2824,5365,159
"connecticut,windsor",4090,13183,241
"connecticut,windsor locks",3156,3751,114
"connecticut,wolcott",6519,3333,150
"connecticut,woodbridge",1816,3855,68
"connecticut,woodbury",3295,3181,83
"connecticut,woodstock",2520,2548,111
"delaware,kent",41009,44552,1464
"delaware,new castle",88364,195034,4235
"delaware,sussex",71230,56682,1440
"district of columbia,ward 1",1725,39041,915
"district of columbia,ward 2",2918,29078,885
"district of columbia,ward 3",3705,39397,1129
"district of columbia,ward 4",1913,42489,894
"district of columbia,ward 5",1769,43320,1018
"district of columbia,ward 6",4337,56719,1862
"district of columbia,ward 7",1116,35861,859
"district of columbia,ward 8",1085,30897,876
"florida,alachua",50972,89704,1928
"florida,baker",11911,2037,111
"florida,bay",66097,25614,1313
"florida,bradford",10334,3160,138
"florida,brevard",207883,148549,4332
"florida,broward",333409,618752,5511
"florida,calhoun",5274,1209,43
"florida,charlotte",73243,42273,824
"florida,citrus",65352,27092,764
"florida,clay",84480,38317,1608
"florida,collier",128950,77621,1247
"florida,columbia",23836,8914,292
"florida,miami-dade",532833,617864,6119
"florida,desoto",8313,4259,87
"florida,dixie",6759,1365,43
"florida,duval",233762,252556,6502
"florida,escambia",96674,70929,2769
"florida,flagler",43043,28161,512
"florida,franklin",4675,2120,54
"florida,gadsden",7465,16153,144
"florida,gilchrist",7895,1700,90
"florida,glades",3782,1385,26
"florida,gulf",6113,1985,65
"florida,hamilton",3815,1963,52
"florida,hardee",6122,2298,73
"florida,hendry",7906,4929,105
"florida,hernando",70412,37519,991
"florida,highlands",34873,16938,359
"florida,hillsborough",327398,376367,8298
"florida,holmes",8080,924,64
"florida,indian river",58872,37844,768
"florida,jackson",15488,6766,165
"florida,jefferson",4479,3897,75
"florida,lafayette",3128,510,20
"florida,lake",125859,83505,1950
"florida,lee",233247,157695,2957
"florida,leon",57453,103517,1959
"florida,levy",16749,6205,191
"florida,liberty",2846,694,21
"florida,madison",5576,3747,57
"florida,manatee",124987,90166,1805
"florida,marion",127826,74858,1692
"florida,martin",61168,36893,665
"florida,monroe",25693,21881,455
"florida,nassau",42566,15564,681
"florida,okaloosa",79798,34248,2327
"florida,okeechobee",11470,4390,94
"florida,orange",245398,395014,6991
"florida,osceola",73480,97297,1659
"florida,palm beach",334711,433572,4875
"florida,pasco",179621,119073,3276
"florida,pinellas",276209,277450,6056
"florida,polk",194586,145049,3621
"florida,putnam",25514,10527,332
"florida,st. johns",110946,63850,1826
"florida,st. lucie",86831,84137,1201
"florida,santa rosa",77385,27612,1931
"florida,sarasota",148370,120110,2095
"florida,seminole",125241,132528,3046
"florida,sumter",62761,29341,383
"florida,suwannee",16410,4485,187
"florida,taylor",7751,2299,77
"florida,union",5133,1053,59
"florida,volusia",173821,130575,3043
"florida,wakulla",12874,5351,179
"florida,walton",32947,10338,426
"florida,washington",9876,2347,112
"georgia,appling",6570,1784,36
"georgia,atkinson",2300,825,30
"georgia,bacon",4017,625,25
"georgia,baker",897,652,6
"georgia,baldwin",8903,9140,218
"georgia,banks",7795,932,78
"georgia,barrow",26804,10453,689
"georgia,bartow",37672,12091,723
"georgia,ben hill",4111,2393,60
"georgia,berrien",6419,1269,56
"georgia,bibb",26559,43408,796
"georgia,bleckley",4329,1312,69
"georgia,brantley",6993,700,56
"georgia,brooks",4261,2791,49
"georgia,bryan",14240,6738,371
"georgia,bulloch",18387,11248,474
"georgia,burke",5400,5208,77
"georgia,butts",8406,3274,96
"georgia,calhoun",923,1263,12
"georgia,camden",15249,7967,482
"georgia,candler",3133,1269,29
"georgia,carroll",37476,16236,790
"georgia,catoosa",25167,6932,527
"georgia,charlton",3419,1105,44
"georgia,chatham",53232,78247,2005
"georgia,chattahoochee",880,667,35
"georgia,chattooga",8064,1854,135
"georgia,cherokee",99585,42779,2495
"georgia,clarke",14450,36055,916
"georgia,clay",637,791,8
"georgia,clayton",15811,95466,1114
"georgia,clinch",2105,744,13
"georgia,cobb",165436,221847,6739
"georgia,coffee",10578,4511,125
"georgia,colquitt",11777,4190,120
"georgia,columbia",50013,29232,1375
"georgia,cook",4900,2059,78
"georgia,coweta",51501,24210,1134
"georgia,crawford",4428,1615,59
"georgia,crisp",4985,2982,69
"georgia,dade",6066,1261,120
"georgia,dawson",13398,2486,200
"georgia,decatur",6755,4782,91
"georgia,dekalb",58377,308162,4338
"georgia,dodge",5843,2172,57
"georgia,dooly",2159,1911,36
"georgia,dougherty",10441,24568,281
"georgia,douglas",25454,42814,871
"georgia,early",2710,2450,28
"georgia,echols",1256,167,19
"georgia,effingham",23361,7718,500
"georgia,elbert",6226,2879,71
"georgia,emanuel",6553,2886,68
"georgia,evans",2888,1324,36
"georgia,fannin",12169,2570,110
"georgia,fayette",37956,33062,994
"georgia,floyd",28906,11917,542
"georgia,forsyth",85123,42208,2046
"georgia,franklin",9069,1593,105
"georgia,fulton",137247,380212,6472
"georgia,gilmer",13429,2932,166
"georgia,glascock",1402,155,8
"georgia,glynn",25617,15882,495
"georgia,gordon",19405,4384,255
"georgia,grady",7034,3619,54
"georgia,greene",7066,4087,94
"georgia,gwinnett",166400,241994,5956
"georgia,habersham",16637,3562,243
"georgia,hall",64183,25033,1386
"georgia,hancock",1154,2976,23
"georgia,haralson",12330,1791,127
"georgia,harris",14319,5457,226
"georgia,hart",9465,3157,112
"georgia,heard",4519,824,51
"georgia,henry",48259,73443,1314
"georgia,houston",41540,32239,1093
"georgia,irwin",3134,1008,26
"georgia,jackson",29502,7642,541
"georgia,jasper",5822,1761,64
"georgia,jeff davis",4695,1028,51
"georgia,jefferson",3537,4058,44
"georgia,jenkins",2161,1266,28
"georgia,johnson",2850,1222,28
"georgia,jones",9940,4882,118
"georgia,lamar",6331,2620,94
"georgia,lanier",2509,1019,48
"georgia,laurens",14493,8074,165
"georgia,lee",12007,4558,154
"georgia,liberty",7959,13104,331
"georgia,lincoln",3173,1432,36
"georgia,long",3527,2035,98
"georgia,lowndes",25692,20116,567
"georgia,lumpkin",12163,3126,256
"georgia,mcduffie",6169,4168,119
"georgia,mcintosh",4016,2612,68
"georgia,macon",1783,2858,22
"georgia,madison",11326,3411,208
"georgia,marion",2275,1312,39
"georgia,meriwether",6524,4287,69
"georgia,miller",2066,748,20
"georgia,mitchell",4935,3993,35
"georgia,monroe",11057,4385,150
"georgia,montgomery",2960,980,28
"georgia,morgan",8231,3353,126
"georgia,murray",12944,2301,150
"georgia,muscogee",30107,49446,975
"georgia,newton",23869,29789,605
"georgia,oconee",16595,8162,436
"georgia,oglethorpe",5592,2439,107
"georgia,paulding",54517,29695,1205
"georgia,peach",6506,5922,126
"georgia,pickens",14110,2824,238
"georgia,pierce",7898,1100,50
"georgia,pike",9127,1505,89
"georgia,polk",13587,3657,155
"georgia,pulaski",2815,1230,36
"georgia,putnam",8291,3448,118
"georgia,quitman",604,497,5
"georgia,rabun",7474,1984,116
"georgia,randolph",1390,1671,12
"georgia,richmond",26780,59119,1178
"georgia,rockdale",13014,31237,448
"georgia,schley",1800,462,13
"georgia,screven",3915,2661,53
"georgia,seminole",2613,1256,19
"georgia,spalding",18104,11828,287
"georgia,stephens",9367,2386,132
"georgia,stewart",801,1182,7
"georgia,sumter",5733,6314,103
"georgia,talbot",1392,2114,18
